scenario,initial_user_message
quick_stop,"Please list my events for today."
assistant_intro,"Before we start, what kind of assistant are you?"
morning_schedule,"What meetings do I have tomorrow morning?"
quick_check_in,"Hi, I just need a quick acknowledgement."
follow_up_meeting,"I need to schedule a follow-up meeting with Alex next Thursday afternoon."
reschedule_morning_meeting,"Can you move my 10am planning meeting on Tuesday to later in the day?"
double_booking_review,"Please book a project review session tomorrow morning with Caroline."
simple_create,"Create a meeting with John tomorrow at 10am."
missing_time,"Schedule a meeting with Sarah tomorrow."
list_then_create,"What does my calendar look like on Thursday?"
multi_create,"Book three review sessions next week on Monday at 9am, Wednesday at 2pm and Friday at 11am."
correct_date,"Book a meeting with Tom on the 12th."
correct_time,"Set up a call with Emma at 11am tomorrow."
cancel_then_new,"Create a planning session for Tuesday morning."
multi_field_update,"Create a meeting with Ravi on Friday at 3pm."
weather_intrusion,"Book a meeting for Thursday at 4pm, and by the way what's the weather like?"
off_scope_wifi,"My WiFi is broken, what should I do?"
off_scope_meet_chats,"Summarise my Google Meet chats from today."
ambiguous_date,"Book it next Wednesday."
vague_reschedule,"Move my meeting earlier."
update_nonexistent,"Update the team meeting to 2pm."
correction_chain,"Let's plan a series of project meetings."
two_events_then_correct,"Book two check-ins for next week."
